ts_unix,t_ns,seq,version,slave,torque_mNm_raw,torque_Nm_raw,torque_Nm_smooth,ratio_pct
1768033628.0420117,7969089663084,67608,1,1,13499,13.499,13.497190316525316,15.5
1768033628.0520043,7969099662931,67609,1,1,13499,13.499,13.497278574512958,15.5
1768033628.0620031,7969109663111,67610,1,1,12874,12.874,13.497362530898362,14.7
1768033628.0720208,7969119663846,67611,1,1,13499,13.499,13.497442396933014,15.5
1768033628.0820196,7969129663989,67612,1,1,13499,13.499,13.49751836319036,15.5
1768033628.0920055,7969139663725,67613,1,1,13499,13.499,13.49759062160987,15.5
1768033628.1020188,7969149663646,67614,1,1,13499,13.499,13.497659357275499,15.5
1768033628.1120095,7969159664918,67615,1,1,13499,13.499,13.497724749303332,15.5
1768033628.122007,7969169664302,67616,1,1,14124,14.124,13.497786940277496,16.2
1768033628.1320043,7969179664352,67617,1,1,13499,13.499,13.497846102186752,15.5
1768033628.1420038,7969189664403,67618,1,1,13499,13.499,13.497902378727066,15.5
1768033628.1520417,7969199664805,67619,1,1,13499,13.499,13.497955912446844,15.5
1768033628.1620588,7969209665800,67620,1,1,13499,13.499,13.498006838138677,15.5
1768033628.1720107,7969219664646,67621,1,1,12874,12.874,13.49805526976314,14.7
1768033628.1820076,7969229664660,67622,1,1,13499,13.499,13.49810134486339,15.5
1768033628.192017,7969239665154,67623,1,1,12874,12.874,13.498145174902998,14.7
1768033628.2020123,7969249665168,67624,1,1,13499,13.499,13.49818686527185,15.5
1768033628.2120104,7969259664792,67625,1,1,13499,13.499,13.49822652086636,15.5
1768033628.2220066,7969269665269,67626,1,1,13499,13.499,13.498264245643622,15.5
1768033628.232073,7969279665560,67627,1,1,13499,13.499,13.49830012982532,15.5
1768033628.2420354,7969289666721,67628,1,1,12874,12.874,13.498334266761107,14.7
1768033628.2520332,7969299665623,67629,1,1,14124,14.124,13.498366731477663,16.2
1768033628.2620182,7969309665155,67630,1,1,13499,13.499,13.498397614938364,15.5
1768033628.2720153,7969319665687,67631,1,1,12874,12.874,13.498426995128687,14.7
1768033628.2820368,7969329666052,67632,1,1,13499,13.499,13.498454941900757,15.5
1768033628.2920163,7969339665862,67633,1,1,13499,13.499,13.498481524205387,15.5
1768033628.3020065,7969349665412,67634,1,1,12874,12.874,13.498506809458595,14.7
1768033628.3120313,7969359671333,67635,1,1,13499,13.499,13.498530876533737,15.5
1768033628.322011,7969369665365,67636,1,1,13499,13.499,13.498553742639047,15.5
1768033628.3320918,7969379673637,67637,1,1,13499,13.499,13.498575524424034,15.5
1768033628.3420656,7969389665354,67638,1,1,14124,14.124,13.498596209619526,16.2
1768033628.3520265,7969399665497,67639,1,1,12874,12.874,13.498615902983392,14.7
1768033628.362016,7969409665529,67640,1,1,12874,12.874,13.498634635674398,14.7
1768033628.3720047,7969419665339,67641,1,1,13499,13.499,13.498652454372657,15.5
1768033628.3820102,7969429665741,67642,1,1,12874,12.874,13.468186600369593,14.7
1768033628.392039,7969439666106,67643,1,1,13499,13.499,13.439206746412351,15.5
1768033628.4020162,7969449666212,67644,1,1,14124,14.124,13.442122927945652,16.2
1768033628.4121034,7969459669022,67645,1,1,13499,13.499,13.444897615626298,15.5
1768033628.4221103,7969469665202,67646,1,1,13499,13.499,13.447535237080503,15.5
1768033628.4320161,7969479665271,67647,1,1,13499,13.499,13.450045220075424,15.5
1768033628.4420853,7969489665654,67648,1,1,14124,14.124,13.452432862041942,16.2
1768033628.4520118,7969499665983,67649,1,1,13499,13.499,13.454704041026423,15.5
1768033628.462021,7969509667088,67650,1,1,13499,13.499,13.456864613236512,15.5
1768033628.4720166,7969519666009,67651,1,1,13499,13.499,13.458919364063405,15.5
1768033628.4820254,7969529670134,67652,1,1,13499,13.499,13.460874906082582,15.5
1768033628.4920094,7969539666591,67653,1,1,13499,13.499,13.462733646401135,15.5
1768033628.5020068,7969549666845,67654,1,1,13499,13.499,13.464502421149366,15.5
1768033628.512006,7969559666674,67655,1,1,13499,13.499,13.46618485986631,15.5
1768033628.5220542,7969569667317,67656,1,1,12874,12.874,13.467785373490905,14.7
1768033628.5320158,7969579667089,67657,1,1,13499,13.499,13.469307694940541,15.5
1768033628.5420477,7969589667399,67658,1,1,13499,13.499,13.470755849524659,15.5
1768033628.5520568,7969599667579,67659,1,1,12874,12.874,13.47213335717782,14.7
1768033628.56202,7969609667592,67660,1,1,13499,13.499,13.473443660471153,15.5
1768033628.5720115,7969619667846,67661,1,1,13499,13.499,13.474690088731236,15.5
1768033628.5820205,7969629668341,67662,1,1,13499,13.499,13.47587575432673,15.5
1768033628.592015,7969639668151,67663,1,1,13499,13.499,13.477003516199552,15.5
1768033628.60201,7969649668164,67664,1,1,13499,13.499,13.478076298733502,15.5
